"","FID","Name","Address","Location","geom","Document","HoCo.ID","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Survey.Year","Comments","ZipCode","Menu_Item1","Menu_Item2"
"248","Historic_Sites_View.fid-e93e948_15090ed509b_-19ea","Welsh-Burdette Farm","2113 Florence Road","Mt. Airy","POINT (1272793.5599999998 600088.9349999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-921.pdf"" TARGET=""NEW"">Click Here </a>",921,12,5,12,0,"Welsh-Burdette Farm","","2007","",NA,NA,NA
"249","Historic_Sites_View.fid-e93e948_15090ed509b_-19eb","Wheatland","12570 Hall Shop Rd","Fulton","POINT (1327058.2799999998 549080.895)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-920.pdf"" TARGET=""NEW"">Click Here </a>",920,40,11,267,0,"Wheatland","Bleakwood Farm","2007","",NA,NA,NA
"250","Historic_Sites_View.fid-e93e948_15090ed509b_-19ec","Snowdown Farm","719 West Watersville Rd","Mt. Airy","POINT (1279102.0499999998 615262.86)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-919.pdf"" TARGET=""NEW"">Click Here </a>",919,2,19,114,0,"Snowdown Farm","","2007","",NA,NA,NA
"251","Historic_Sites_View.fid-e93e948_15090ed509b_-19ed","Murphy-Connell Farm","8450 Murphy Road","Scaggsville","POINT (1335847.5 536575.14)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-918.pdf"" TARGET=""NEW"">Click Here </a>",918,46,8,115,0,"Murphy-Connell Farm","","2007","",NA,NA,NA
"252","Historic_Sites_View.fid-e93e948_15090ed509b_-19ee","Richland Farm","4730 Sheppard Lane","Clarksville","POINT (1327650.69 574046.2799999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-907.pdf"" TARGET=""NEW"">Click Here </a>",907,28,6,92,0,"Richland Farm","","2007","",NA,NA,NA
"253","Historic_Sites_View.fid-e93e948_15090ed509b_-19ef","Gieseke House","10546 Frederick Rd","Ellicott City","POINT (1346450.46 588968.73)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-896.pdf"" TARGET=""NEW"">Click Here </a>",896,16,24,63,0,"Edith Friskey House","Gieske House","2008","Demo permit for SFD 8/18/2007 completed, new development built",NA,NA,NA
"254","Historic_Sites_View.fid-e93e948_15090ed509b_-19f0","Thomas Jones House","2711 North Ridge Road","Ellicott City","POINT (1365730.6199999999 592668.36)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-884.pdf"" TARGET=""NEW"">Click Here </a>",884,17,18,98,0,"Thomas Jones House","","2005","",NA,NA,NA
"255","Historic_Sites_View.fid-e93e948_15090ed509b_-19f1","Harry & Fulton Gordon Pro","10128 Washington Blvd","Laurel","POINT (1357629.18 524716.215)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-849.pdf"" TARGET=""NEW"">Click Here </a>",849,50,10,425,0,"Harry and Fulton Gordon Property","","UNK","",NA,NA,NA
"256","Historic_Sites_View.fid-e93e948_15090ed509b_-19f2","Cornelius W. Pickett Prop","8806 Washington Blvd","Jessup","POINT (1366270.0799999998 538126.395)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-848.pdf"" TARGET=""NEW"">Click Here </a>",848,47,6,501,0,"Cornelius W. Pickett Property","White's Contrivance","UNK","",NA,NA,NA
"257","Historic_Sites_View.fid-e93e948_15090ed509b_-19f3","Richard Shipley Farm","2400 Pfefferkorn Rd","West Friendship","POINT (1316270.16 596813.205)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-870.pdf"" TARGET=""NEW"">Click Here </a>",870,15,8,4,0,"Caleb Shipley, Jr. Farm","Richard Shipley Farm","2008","Demo permit for SFD 9/12/2007 complete",NA,NA,NA
"258","Historic_Sites_View.fid-e93e948_15090ed509b_-19f4","Savage Bungalow","8225 Commercial St","Savage","POINT (1361547.0599999998 535546.35)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-873.pdf"" TARGET=""NEW"">Click Here </a>",873,47,11,455,0,"Savage Mill Worker's Bungalow","Joseph Schultz House","2005","",NA,NA,NA
"259","Historic_Sites_View.fid-e93e948_15090ed509b_-19f5","O'Tremba House","10470  Frederick Rd","Ellicott City","POINT (1347289.2 588532.3949999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-898.pdf"" TARGET=""NEW"">Click Here </a>",898,23,6,10,0,"O'Tremba House","","","",NA,NA,NA
"260","Historic_Sites_View.fid-e93e948_15090ed509b_-19f6","Milton A. Murphy House","10510 Frederick Rd","Ellicott City","POINT (1346979.27 588784.365)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-897.pdf"" TARGET=""NEW"">Click Here </a>",897,16,24,63,0,"Milton A. Murphy House","","","",NA,NA,NA
"261","Historic_Sites_View.fid-e93e948_15090ed509b_-19f7","Isaacs Farm","3866 Ivory Rd","Glenelg","POINT (1314424.98 582036.105)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-895.pdf"" TARGET=""NEW"">Click Here </a>",895,22,23,24,0,"Isaacs Farm","","","NO FORM, MHT survey?",NA,NA,NA
"262","Historic_Sites_View.fid-e93e948_15090ed509b_-19f8","Harmon House","6441 Montgomery Rd","Ellicott City","POINT (1380908.0399999998 562885.0199999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-892.pdf"" TARGET=""NEW"">Click Here </a>",892,37,5,723,0,"Harmon House","","2005","GIS layer incorrectly identifies name",NA,NA,NA
"263","Historic_Sites_View.fid-e93e948_15090ed509b_-19f9","Chapel of the Good Shephe","2801 Rogers Ave","Ellicott City","POINT (1366090.5899999999 593321.565)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-890.pdf"" TARGET=""NEW"">Click Here </a>",890,17,18,472,0,"Chapel of the Good Shepherd Cemetery","Good Sheperd Cemetery caretaker's house","2005","",NA,NA,NA
"264","Historic_Sites_View.fid-e93e948_15090ed509b_-19fa","Lotz House","5266 Waterloo Road","Ellicott City","POINT (1367759.3099999998 567955.965)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-889.pdf"" TARGET=""NEW"">Click Here </a>",889,31,13,39,0,"Lotz House","","2005","",NA,NA,NA
"265","Historic_Sites_View.fid-e93e948_15090ed509b_-19fb","Timanus House","8325 Grove Angle Rd","Ellicott City","POINT (1368598.5899999999 570089.6849999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-881.pdf"" TARGET=""NEW"">Click Here </a>",881,31,13,35,0,"Timanus Tenant House","","2005","",NA,NA,NA
"266","Historic_Sites_View.fid-e93e948_15090ed509b_-19fc","Spring Hill Quarter Adden","4614 New Cut Road","","POINT (1368459.24 574827.705)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-031.pdf"" TARGET=""NEW"">Click Here </a>",31,31,1,9,0,"","","","",NA,NA,NA
"267","Historic_Sites_View.fid-e93e948_15090ed509b_-19fd","John R. Clark Farm","5159 Beaverbrook Ln","Columbia","POINT (1349864.16 569353.5299999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-880.pdf"" TARGET=""NEW"">Click Here </a>",880,30,13,246,0,"John R. Clark Farm","Beaverbrook","2005","",NA,NA,NA
"268","Historic_Sites_View.fid-e93e948_15090ed509b_-19fe","Mt Pleasant","10524 Old Frederick Rd","Woodstock","POINT (1347829.5299999998 600884.37)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-406.pdf"" TARGET=""NEW"">Click Here </a>",406,10,24,331,0,"Mt. Pleasant","","1979","Incorrectly listed as Frederick Road; portions of former farm now owned by DRP & DNR",NA,NA,NA
"269","Historic_Sites_View.fid-e93e948_15090ed509b_-19ff","Chestnut Hill Tenant Hous","8170 Balto. Natn'l Pike","Ellicott City","POINT (1370450.76 592537.3049999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-891.pdf"" TARGET=""NEW"">Click Here </a>",891,18,14,281,0,"Chestnut Hill Farm Tenant House","Claggett Farm","2005","",NA,NA,NA
"270","Historic_Sites_View.fid-e93e948_15090ed509b_-1a00","Hanson House","8329 Church Lane Dr","Ellicott City","POINT (1368511.3499999999 593148.0449999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-883.pdf"" TARGET=""NEW"">Click Here </a>",883,18,13,102,0,"Hanson House","","2005","",NA,NA,NA
"271","Historic_Sites_View.fid-e93e948_15090ed509b_-1a01","Wm. Thomas Farmhouse","2376 Daniels Rd","Ellicott City","POINT (1367173.92 596730.4049999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-874.pdf"" TARGET=""NEW"">Click Here </a>",874,18,7,333,0,"William Thomas Farmhouse","","2005","",NA,NA,NA
"272","Historic_Sites_View.fid-e93e948_15090ed509b_-1a02","Francis & Sarah Mankee Ho","13354 Rt 108","Highland","POINT (1324569.5999999999 551377.005)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-879.pdf"" TARGET=""NEW"">Click Here </a>",879,40,5,85,0,"Francis and Sarah Manakee House","","2005","",NA,NA,NA
"273","Historic_Sites_View.fid-e93e948_15090ed509b_-1a03","Disney Garage","13376 Rt 108","Highland","POINT (1324328.16 551146.695)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-877.pdf"" TARGET=""NEW"">Click Here </a>",877,40,4,85,0,"Disney Garage","","2005","Demo permit for SFD 4/7/2005 completed",NA,NA,NA
"274","Historic_Sites_View.fid-e93e948_15090ed509b_-1a04","Timmerman House","13356 Rt 108","Highland","POINT (1324413.5999999999 551233.32)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-878.pdf"" TARGET=""NEW"">Click Here </a>",878,40,4,85,0,"Timmerman House","","2005","",NA,NA,NA
"275","Historic_Sites_View.fid-e93e948_15090ed509b_-1a05","Swartz House","8432 High Ridge Rd","Ellicott City","POINT (1367871.3599999999 592527.9149999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-875.pdf"" TARGET=""NEW"">Click Here </a>",875,18,13,379,0,"Swartz House","","2005","",NA,NA,NA
"276","Historic_Sites_View.fid-e93e948_15090ed509b_-1a06","Jones Buriel Ground","2948 Rogers Ave","Ellicott City","POINT (1365828.69 591608.37)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-876.pdf"" TARGET=""NEW"">Click Here </a>",876,17,24,118,0,"Jones Burial Ground","","2005","",NA,NA,NA
"277","Historic_Sites_View.fid-e93e948_15090ed509b_-1a07","Sause's Service Station","8636 Balto. Natn'l. Pike","Ellicott City","POINT (1365560.94 588547.23)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-888.pdf"" TARGET=""NEW"">Click Here </a>",888,24,6,50,0,"Sause's Service Station and House","","2005","Demo permit for garage and SFD 9/25/2007 completed",NA,NA,NA
"278","Historic_Sites_View.fid-e93e948_15090ed509b_-1a08","Enchanted Forest Addendum","10040 Baltimore Natn'l. P","Ellicott City","POINT (1352377.2 587646.015)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-767.pdf"" TARGET=""NEW"">Click Here </a>",767,24,0,454,0,"The Enchanted Forest","","2004","Behind shopping center; many artifacts moved to Clark's Eliok Farm (Route 108)",NA,NA,NA
"279","Historic_Sites_View.fid-e93e948_15090ed509b_-1a09","Ilchester Post Office","4607 Bonnie Branch Road","Ellicott City","POINT (1375936.38 574741.725)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-458.pdf"" TARGET=""NEW"">Click Here </a>",458,31,4,329,0,"Ilchester Post Office","Schaad House","2005","Demo permit for SFD 7/22/2009 completed. PO still there 4/2010",NA,NA,NA
"280","Historic_Sites_View.fid-e93e948_15090ed509b_-1a0a","Cavey House","4531 College Avenue","Ellicott City","POINT (1376042.01 575576.355)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-882.pdf"" TARGET=""NEW"">Click Here </a>",882,31,4,7,3,"Cavey House","","UNK","NO FORM, MHT  Survey?",NA,NA,NA
"281","Historic_Sites_View.fid-e93e948_15090ed509b_-1a0b","Davis Grist Mill Addendum","4450 Bonnie Branch Rd","Ellicott City","POINT (1377489.45 576545.9249999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-739.pdf"" TARGET=""NEW"">Click Here </a>",739,31,4,166,0,"Davis Grist Mill Addendum","","1998","",NA,NA,NA
"282","Historic_Sites_View.fid-e93e948_15090ed509b_-1a0c","Holste Farm","5341 Kerger Road","Ellicott City","POINT (1377094.5 566155.6499999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-886.pdf"" TARGET=""NEW"">Click Here </a>",886,31,22,229,0,"Holste Farm","","2005","New structure 2007",NA,NA,NA
"283","Historic_Sites_View.fid-e93e948_15090ed509b_-1a0d","Henry Wehland Farmhouse","5550 Montgomery Road","Ellicott City","POINT (1371828.9 564865.32)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-864.pdf"" TARGET=""NEW"">Click Here </a>",864,31,21,755,0,"Henry Wehland Farmhouse","","2004","",NA,NA,NA
"284","Historic_Sites_View.fid-e93e948_15090ed509b_-1a0e","Kirn House","5270 Waterloo Road","Ellicott City","POINT (1367713.0499999998 567905.9249999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-872.pdf"" TARGET=""NEW"">Click Here </a>",872,31,13,66,0,"Kirn House","Kirn's House","2005","",NA,NA,NA
"285","Historic_Sites_View.fid-e93e948_15090ed509b_-1a0f","Marcus & Jones Houses","5001 Orchard Rd","Ellicott City","POINT (1371560.46 570577.2749999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-860.pdf"" TARGET=""NEW"">Click Here </a>",860,31,14,87,0,"Marcus & Jones Houses","","2005","",NA,NA,NA
"286","Historic_Sites_View.fid-e93e948_15090ed509b_-1a10","John S. Ridgely Farm","5329 Kerger Road","Ellicott City","POINT (1375976.8499999999 566827.2749999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-865.pdf"" TARGET=""NEW"">Click Here </a>",865,31,22,628,0,"John S. Ridgely Farm","Kuhn Farm","2004","",NA,NA,NA
"287","Historic_Sites_View.fid-e93e948_15090ed509b_-1a11","Spence House","5500 Montgomery Road","Ellicott City","POINT (1372022.0399999998 565827.855)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-863.pdf"" TARGET=""NEW"">Click Here </a>",863,31,20,196,0,"Spence House","","2005","",NA,NA,NA
"288","Historic_Sites_View.fid-e93e948_15090ed509b_-1a12","Thompson House","5260 Waterloo Road","Ellicott City","POINT (1367823.96 567989.0399999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-867.pdf"" TARGET=""NEW"">Click Here </a>",867,31,13,417,0,"Thompson House","","2004","Condition:  Good, Fair, Poor",NA,NA,NA
"289","Historic_Sites_View.fid-e93e948_15090ed509b_-1a13","Hessler House","8466 Church Lane Rd","Ellicott City","POINT (1366790.88 593484.2849999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-852.pdf"" TARGET=""NEW"">Click Here </a>",852,18,13,293,0,"Hessler House","","2007","",NA,NA,NA
"290","Historic_Sites_View.fid-e93e948_15090ed509b_-1a14","Melton House","4844 Bonnie Branch Rd","Ellicott City","POINT (1374264.8099999998 572521.95)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-861.pdf"" TARGET=""NEW"">Click Here </a>",861,31,9,751,0,"Edward R. and Rosalind A. Melton House","Tree House","2004","",NA,NA,NA
"291","Historic_Sites_View.fid-e93e948_15090ed509b_-1a15","Fisher Farmhouse","8416 Elko Drive","Ellicott City","POINT (1367965.0499999998 567509.1)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-866.pdf"" TARGET=""NEW"">Click Here </a>",866,31,19,389,2,"Fisher Farmhouse","","2004","",NA,NA,NA
"292","Historic_Sites_View.fid-e93e948_15090ed509b_-1a16","Richard Burgess Farmhouse","1270 Hay Meadow Lane","Sykesville","POINT (1325554.5299999998 608032.08)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-868.pdf"" TARGET=""NEW"">Click Here </a>",868,9,11,335,0,"Richard Burgess Farmhouse","","2004","",NA,NA,NA
"293","Historic_Sites_View.fid-e93e948_15090ed509b_-1a17","Pue-Fulton Farm","3948 Cooks Lane","Ellicott City","POINT (1364273.0999999999 581236.455)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-859.pdf"" TARGET=""NEW"">Click Here </a>",859,24,18,260,0,"Pue-Fulton Farm","","2004","",NA,NA,NA
"294","Historic_Sites_View.fid-e93e948_15090ed509b_-1a18","6363 Old Washington Adden","6263 Old Washington Rd","","POINT (1390369.47 560740.2749999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-803.pdf"" TARGET=""NEW"">Click Here </a>",803,38,8,444,0,"","","","",NA,NA,NA
"295","Historic_Sites_View.fid-e93e948_15090ed509b_-1a19","Carlton Sykes House","3497 Rogers Ave","Ellicott City","POINT (1366261.5899999999 585741.2699999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-853.pdf"" TARGET=""NEW"">Click Here </a>",853,24,3,457,0,"Carlton Sykes House","","2004","LaSalle Model Sears House",NA,NA,NA
"296","Historic_Sites_View.fid-e93e948_15090ed509b_-1a1a","Von Harten House","5412 Montgomery Rd","Ellicott City","POINT (1371771.51 566479.575)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-862.pdf"" TARGET=""NEW"">Click Here </a>",862,31,20,193,1,"Von Harten House","","2004","",NA,NA,NA
"297","Historic_Sites_View.fid-e93e948_15090ed509b_-1a1b","Cole Farm","12182 Scaggsville Rd","West Friendship","POINT (1330734.27 545404.6499999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-869.pdf"" TARGET=""NEW"">Click Here </a>",869,41,13,2,0,"Cole Farm","Ernest Ide Farm","2004","",NA,NA,NA
"298","Historic_Sites_View.fid-e93e948_15090ed509b_-1a1c","Alfred & Sophia Mathews F","2888 Rt 97","Glenwood","POINT (1304789.3699999999 592786.845)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-850.pdf"" TARGET=""NEW"">Click Here </a>",850,14,16,154,0,"Alfred & Sophia Mathews Farmhouse (site)","","2004","",NA,NA,NA
"299","Historic_Sites_View.fid-e93e948_15090ed509b_-1a1d","Thomas Farm Tenant House","2340 Daniels Rd","Ellicott City","POINT (1366944.48 597040.32)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-582.pdf"" TARGET=""NEW"">Click Here </a>",582,18,7,4,0,"Thomas Farm Tenant House","","2004","",NA,NA,NA
"300","Historic_Sites_View.fid-e93e948_15090ed509b_-1a1e","Thomas Talbott House","3864 Old Columbia Pike","Ellicott City","POINT (1367856.8699999999 582285.6449999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-893.pdf"" TARGET=""NEW"">Click Here </a>",893,25,13,24,0,"Thomas Talbott House","","2005","",NA,NA,NA
"301","Historic_Sites_View.fid-e93e948_15090ed509b_-1a1f","Kraft Home Place","3871 Old Columbia Pike","Ellicott City","POINT (1367885.8499999999 582039.8099999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-894.pdf"" TARGET=""NEW"">Click Here </a>",894,25,13,27,0,"Kraft Home Place","","2005","",NA,NA,NA
"302","Historic_Sites_View.fid-e93e948_15090ed509b_-1a20","Schatz House","3935 Hunter St","Ellicott City","POINT (1367913.3599999999 581684.25)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-871.pdf"" TARGET=""NEW"">Click Here </a>",871,25,13,89,0,"Schatz House","","2005","",NA,NA,NA
"303","Historic_Sites_View.fid-e93e948_15090ed509b_-1a21","Hammond Cottage","3965 College Ave","Ellicott City","POINT (1370504.46 581170.08)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-856.pdf"" TARGET=""NEW"">Click Here </a>",856,25,14,309,0,"Hammond Cottage","Liburn Cottage","2009","Demolition requested",NA,NA,NA
"304","Historic_Sites_View.fid-e93e948_15090ed509b_-1a22","Choyce House","3928 Hunter St","Ellicott City","POINT (1367770.5299999998 581712.9299999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-857.pdf"" TARGET=""NEW"">Click Here </a>",857,25,13,145,0,"Choyce House","","2005","",NA,NA,NA
"305","Historic_Sites_View.fid-e93e948_15090ed509b_-1a23","Boone House","4010 Hunt Ave","Ellicott City","POINT (1366604.0399999998 581139.6)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-858.pdf"" TARGET=""NEW"">Click Here </a>",858,25,13,145,0,"Boone House","","2004","",NA,NA,NA
"306","Historic_Sites_View.fid-e93e948_15090ed509b_-1a24","Grimes House","3919 College Ave","Ellicott City","POINT (1370145.96 581519.505)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-854.pdf"" TARGET=""NEW"">Click Here </a>",854,25,14,234,0,"Grimes House","","2004","",NA,NA,NA
"307","Historic_Sites_View.fid-e93e948_15090ed509b_-1a25","Kinlein Family Houses","3995-4029 College Ave","Ellicott City","POINT (1370847.15 580767.39)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,25,14,0,0,"Kinlein Family Houses","","2004","3995, 3999, 4011, 4021 and 4029 College Ave",NA,NA,NA
"308","Historic_Sites_View.fid-e93e948_15090ed509b_-1a26","Maple Cliffe","8221 Maple Cliffe Way","Ellicott City","POINT (1370557.14 580163.64)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-587.pdf"" TARGET=""NEW"">Click Here </a>",587,25,14,64,10,"Maple Cliffe","","2004","subdivision",NA,NA,NA
"309","Historic_Sites_View.fid-e93e948_15090ed509b_-1a27","","6308 Old Washington Rd","Elkridge","POINT (1389668.2799999998 560606.82)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,835,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"310","Historic_Sites_View.fid-e93e948_15090ed509b_-1a28","","6297 Old Washington Rd","Elkridge","POINT (1390552.41 559957.725)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,9,302,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"311","Historic_Sites_View.fid-e93e948_15090ed509b_-1a29","","6288 Old Washington Rd","Elkridge","POINT (1390096.74 560785.0499999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,317,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"312","Historic_Sites_View.fid-e93e948_15090ed509b_-1a2a","","6286 Old Washington Rd","Elkridge","POINT (1390151.46 560808.75)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,442,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"313","Historic_Sites_View.fid-e93e948_15090ed509b_-1a2b","","6263 Old Washington Rd","Elkridge","POINT (1390419.24 560794.995)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,444,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"314","Historic_Sites_View.fid-e93e948_15090ed509b_-1a2c","","6200 Old Washington Rd","Elkridge","POINT (1391056.6199999999 561384.99)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,9,858,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"315","Historic_Sites_View.fid-e93e948_15090ed509b_-1a2d","","6045 Old Washington Rd","Elkridge","POINT (1392392.5799999998 561727.695)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,9,886,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"316","Historic_Sites_View.fid-e93e948_15090ed509b_-1a2e","","7362 Montgomery Road","Elkridge","POINT (1389854.43 560589.255)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,113,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"317","Historic_Sites_View.fid-e93e948_15090ed509b_-1a2f","","7356 Montgomery Road","Elkridge","POINT (1389835.98 560639.8949999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,347,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"318","Historic_Sites_View.fid-e93e948_15090ed509b_-1a30","","7350 Montgomery Road","Elkridge","POINT (1389808.7699999998 560696.37)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,112,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"319","Historic_Sites_View.fid-e93e948_15090ed509b_-1a31","","7343 Montgomery Road","Elkridge","POINT (1389881.64 560839.7699999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,465,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"320","Historic_Sites_View.fid-e93e948_15090ed509b_-1a32","","7342 Montgomery Road","Elkridge","POINT (1389786.24 560732.07)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,110,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
"321","Historic_Sites_View.fid-e93e948_15090ed509b_-1a33","","7338 Montgomery Road","Elkridge","POINT (1389752.8499999999 560780.6549999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,38,8,336,0,"Old Washington Road Survey District","","2003","101 contributing buildings; JG shows addendum to # 803, 6363 Old Washington",NA,NA,NA
