"","FID","Name","Address","Location","geom","Document","HoCo.ID","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Survey.Year","Comments","ZipCode","Menu_Item1","Menu_Item2"
"65","Historic_Sites_View.fid-e93e948_15090ed509b_-1933","Scrivnor-Kaplan House","5199 Ten Oaks Rd","Clarksville","POINT (1319582.16 568324.0349999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-851.pdf"" TARGET=""NEW"">Click Here </a>",851,28,15,144,0,"Scrivnor-Kaplan House","","","",NA,NA,NA
"66","Historic_Sites_View.fid-e93e948_15090ed509b_-1934","Hubert and Lucienne Miche","3960 Old Columbia Pike","Ellicott City","POINT (1366084.2899999998 582289.725)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-835.pdf"" TARGET=""NEW"">Click Here </a>",835,24,18,811,0,"Hubert and Lucienne Michell House","","2007","Scheduled for demolition 2006",NA,NA,NA
"67","Historic_Sites_View.fid-e93e948_15090ed509b_-1935","George nad Lorraine Walth","4357 Montgomery Rd","Ellicott City","POINT (1365125.3699999999 577236.195)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-834.pdf"" TARGET=""NEW"">Click Here </a>",834,24,24,328,0,"George nad Lorraine Walther House","","2007","demolished",NA,NA,NA
"68","Historic_Sites_View.fid-e93e948_15090ed509b_-1936","Cornelius W. Pickett Prop","8802 Washington Blvd","Jessup","POINT (1366298.76 538198.965)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-823.pdf"" TARGET=""NEW"">Click Here </a>",823,47,6,68,0,"Cornelius W. Pickett Property(Garage)","White's Contrivance","2004","",NA,NA,NA
"69","Historic_Sites_View.fid-e93e948_15090ed509b_-1937","Cornelius W. Pickett Prop","8826 Washington Blvd","Jessup","POINT (1366053.51 537640.59)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-822.pdf"" TARGET=""NEW"">Click Here </a>",822,47,12,502,0,"Cornelius W. Pickett Property(Hotel/Inn)","White's Contrivance","2004","",NA,NA,NA
"70","Historic_Sites_View.fid-e93e948_15090ed509b_-1938","Frank G. and Anna Haller","9921 Washington Blvd","Laurel","POINT (1359508.26 526909.0499999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-821.pdf"" TARGET=""NEW"">Click Here </a>",821,50,4,262,0,"Frank G. and Anna Haller Property","","2003","",NA,NA,NA
"71","Historic_Sites_View.fid-e93e948_15090ed509b_-1939","Charles and Gertrude Russ","9533 North Laurel Rd","Laurel","POINT (1357239.66 525793.455)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-820.pdf"" TARGET=""NEW"">Click Here </a>",820,50,3,425,0,"Charles and Gertrude Russell House","","2008","Vacant",NA,NA,NA
"72","Historic_Sites_View.fid-e93e948_15090ed509b_-193a","Harry & Fulton Gordon Pro","10140 Washington Blvd","Laurel","POINT (1357515.93 524559.0599999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-819.pdf"" TARGET=""NEW"">Click Here </a>",819,50,10,425,0,"Harry & Fulton Gordon Property","","2004","",NA,NA,NA
"73","Historic_Sites_View.fid-e93e948_15090ed509b_-193b","Albert W. and Helen M. Co","9994 Washington Blvd","Laurel","POINT (1358658.99 526159.86)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-818.pdf"" TARGET=""NEW"">Click Here </a>",818,50,4,426,3,"Albert W. and Helen M. Cornick Property","","2004","",NA,NA,NA
"74","Historic_Sites_View.fid-e93e948_15090ed509b_-193c","Oakland Manor Barn","5410 Leaftreader Way","Columbia","POINT (1353785.3699999999 567080.835)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-032.pdf"" TARGET=""NEW"">Click Here </a>",32,30,20,0,0,"","","2008","",NA,NA,NA
"75","Historic_Sites_View.fid-e93e948_15090ed509b_-193d","Oakland Manor","5430 Vantage Point Rd","Columbia","POINT (1353231.99 566554.065)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-032.pdf"" TARGET=""NEW"">Click Here </a>",32,30,20,308,0,"Oakland Manor","","2008","Rose Price house on site, Hnaor house barn across street",NA,NA,NA
"76","Historic_Sites_View.fid-e93e948_15090ed509b_-193e","Hazlehurst Cottages","3961 College Ave","Ellicott City","POINT (1370301.96 581297.97)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-855.pdf"" TARGET=""NEW"">Click Here </a>",855,25,14,95,0,"Hazlehurst Cottages","","2005","Demolition requested",NA,NA,NA
"77","Historic_Sites_View.fid-e93e948_15090ed509b_-193f","Hugg-Thomas Wildlife Mana","","","POINT (1320038.88 616353.225)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-790.pdf"" TARGET=""NEW"">Click Here </a>",790,4,15,1,0,"Hugg-Thomas Wildlife Management Area","","UNK","NO FORM",NA,NA,NA
