FID,Document,HoCo ID,Name,Address,Tax Map,Block,Parcel,Lot,Building Name,Common Name,Location,Survey Year,Comments,geom
Historic_Sites_View.fid-e93e948_15090ed509b_-1b1c,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Flurrie House,4065 Old Columbia Pike,24,18,679,0,Flurrie House,,Ellicott City,1991,,POINT (1364688.1199999999 579860.985)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b1b,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Massey House,4001 Old Columbia Pike,24,18,287,0,Massey House,,Elicott City,1991,,POINT (1365747.48 580657.0199999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b1a,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Nelson House,3992 Old Columbia Pike,24,18,255,0,Nelson House,,Ellicott City,UNK,,POINT (1365641.25 581194.62)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b19,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Lutz House,3978 Old Columbia Pike,24,18,845,0,Lutz House,,Ellicott City,1991,,POINT (1366045.98 581227.3949999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b18,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Casciaro House,3979 Old Columbia Pike,0,0,0,0,Casciaro House,,Ellicott City,UNK,,POINT (1366210.14 581030.445)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b17,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Farmer / Kittner House,3966 Old Columbia Pike,24,18,846,0,Farmer/Kittner House,,Ellicott City,1991,,POINT (1366210.14 581282.13)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b16,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Shearn House,3916 Old Columbia Pike,25,13,157,0,Shearn House,,Ellicott City,UNK,,POINT (1367129.3399999999 581708.82)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b15,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Fulton House,3926 Old Columbia Pike,25,13,257,0,Fulton House,,Ellicott City,UNK,,POINT (1367002.92 581581.215)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b14,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Bohning House,3962 Old Columbia Pike,24,18,565,0,Bohning House,,Ellicott City,1991,,POINT (1366339.7999999998 581509.815)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b13,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-328.pdf"" TARGET=""NEW"">Click Here </a>",328,Thompson House,3896 Old Columbia Pike,25,13,66,0,Thompson House,Kraft Victorian Cottage,Elicott City,1979,,POINT (1367356.44 581845.7849999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b12,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Pfeiffer House,3887 Old Columbia Pike,25,13,30,0,Pfeiffer House,,Ellicott City,UNK,,POINT (1367578.5599999998 581842.86)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b11,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Reed House,3873 Old Columbia Pike,25,14,154,0,Reed House,,Ellicott City,UNK,,POINT (1367756.7899999998 582007.0349999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b10,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,McLaughlin / Delisa House,3909 Hunter Rd,25,14,304,0,McLaughlin/Delisa House,,Ellicott City,UNK,,POINT (1367714.3399999999 581961.39)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b0f,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Harrison House,3872 Old Columbia Pike,25,13,25,0,Harrison House,,Ellicott City,UNK,,POINT (1367760 582247.3049999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b0e,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-147.pdf"" TARGET=""NEW"">Click Here </a>",147,Chews Vinyard,4194 New Cut Rd,25,1920,71,0,Chews Vineyard,Eklof House,Ellicott City,1977,"Demo for SFD 11/2/2005 completed, new house buildt, MET Easement",POINT (1369194.0299999998 578419.4249999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b0d,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Robinson House,6692 Cedar Ln,35,22,87,0,Goldstein-Johnson Property,Richardson Farm,Columbia,2000,House torn down between 1993 and 2005,POINT (1341775.7999999998 554844.1649999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b0c,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-364.pdf"" TARGET=""NEW"">Click Here </a>",364,,8777 Frederick Rd,24,12,684,0,Joseph and Abe Young,,Ellicott City,1982,Demo per Samantha Stoney,POINT (1365282.99 583874.4299999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b0b,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-585.pdf"" TARGET=""NEW"">Click Here </a>",585,,8683 Main St,24,12,987,0,Colored Schoolhouse,,Ellicott City,UNK,Restored,POINT (1365937.95 583573.89)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b0a,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-336.pdf"" TARGET=""NEW"">Click Here </a>",336,,,0,0,0,0,William Moore House,,Ellicott City,1981,,POINT (1367650.7999999998 583932.99)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b09,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-415.pdf"" TARGET=""NEW"">Click Here </a>",415,,,0,0,0,0,The Lindens,,Ellicott City,1979,,POINT (1367000.52 585129.0599999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b08,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Ridgley Tennant House,3615 Ivory Rd,22,8,93,0,Isaacs-Sheppard House,Ridgely Tenant House,Glenelg,2008,,POINT (1315783.1099999999 584559.9299999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b07,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Milton Shipley House,2920 Rt 32,15,23,160,0,Milton Shipley House,,West Friendship,1995,,POINT (1324745.3399999999 591396.0449999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b06,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Mary Selby House,3072 Rt 32,0,0,0,0,Burgess-Sullivan House,Mary Selby Burgess House,West Friendship,2006,Demo permit for SFD 5/25/2006 completed,POINT (1323768.8099999998 589442.595)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b05,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,John D. Harp Barn,14564 Dorsey Mill Rd,21,17,31,0,John D. Harp Barn,Windridge Farm Barn,Glenwood,1996,,POINT (1307319.45 582181.215)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b04,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-372.pdf"" TARGET=""NEW"">Click Here </a>",372,,13802 Old Frederick Rd,9,13,56,0,Thomas Welling House,,Sykesville,UNK,"NO FORM, Not located",POINT (1314528.18 605854.32)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b03,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-373.pdf"" TARGET=""NEW"">Click Here </a>",373,,13555 Old Frederick Rd,9,20,98,0,Annandale (Fred Pipe's House),Hood-Jones-Pipes House,Sykesville,1999,,POINT (1316644.3499999999 603712.725)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b02,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-374.pdf"" TARGET=""NEW"">Click Here </a>",374,,,9,13,57,1,Blaisdell House,,West Friendship,UNK,NO FORM,POINT (1313032.17 605022)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b01,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-416.pdf"" TARGET=""NEW"">Click Here </a>",416,,2425 Daisy Rd,14,7,174,0,Quarry on the Cattail,,Woodbine,1979,,POINT (1295833.14 596914.9349999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1b00,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-534.pdf"" TARGET=""NEW"">Click Here </a>",534,Union Dam,Patapsco River @ US 40,18,15,0,0,Union Dam and Mill Race,,Oella,1979,,POINT (1374538.14 592887.945)
Historic_Sites_View.fid-e93e948_15090ed509b_-1aff,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-547.pdf"" TARGET=""NEW"">Click Here </a>",547,Vierling-Hutchinson Hse,3220 Jones Rd,13,21,45,0,Warfield Farmhouse,Vierling-Hutchinson House,Woodbine,1979,,POINT (1283732.7899999998 589892.745)
Historic_Sites_View.fid-e93e948_15090ed509b_-1afe,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-546.pdf"" TARGET=""NEW"">Click Here </a>",546,Driver Farm,,12,24,23,0,Denton Driver Farm,,Florence,2007,,POINT (1274549.52 588816.345)
Historic_Sites_View.fid-e93e948_15090ed509b_-1afd,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-543.pdf"" TARGET=""NEW"">Click Here </a>",543,Hipsley Mill Miller's Hse,3690 Hipsley Mill Rd,20,3,38,0,Hipsley Mill Miller's House,Blumenauer House,Woodbine,1979,,POINT (1282913.4 586634.085)
Historic_Sites_View.fid-e93e948_15090ed509b_-1afc,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-544.pdf"" TARGET=""NEW"">Click Here </a>",544,Ridgely / Bowman Farm,3896 Hipsley Mill Rd,20,2,52,0,Ridgely-Bowman Farm,ABB Farm,Woodbine,1979,,POINT (1280803.71 585464.355)
Historic_Sites_View.fid-e93e948_15090ed509b_-1afb,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-545.pdf"" TARGET=""NEW"">Click Here </a>",545,John Layman House,3955 Hipsley Mill Rd,20,8,4,0,John Layman Farmhouse,Martha Lemmon,Woodbine,1979,,POINT (1280877.18 583913.61)
Historic_Sites_View.fid-e93e948_15090ed509b_-1afa,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-323.pdf"" TARGET=""NEW"">Click Here </a>",323,,14254 Triadelphia Rd,21,18,46,0,Joshua Day House,,Glenelg,1972,,POINT (1309819.89 580548.5399999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af9,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-431.pdf"" TARGET=""NEW"">Click Here </a>",431,,3875 Roxbury Mill Rd,21,14,91,0,Mount Calvary Episcopal Church,Glenwood Missionary Baptist Church,Roxbury,2008,,POINT (1299221.5799999998 582169.485)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af8,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-554.pdf"" TARGET=""NEW"">Click Here </a>",554,,3408 Folly Quarter Rd,23,4,118,0,Cotillion Building near Enniscorthy,,Ellicott City,UNK,Slated for demolition,POINT (1340086.2899999998 587714.6549999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af7,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-366.pdf"" TARGET=""NEW"">Click Here </a>",366,Marshalee,5850 Montgomery Rd,37,11,84,0,Marshallee,,Elkridge,1982,,POINT (1375082.2799999998 563613.39)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af6,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-474.pdf"" TARGET=""NEW"">Click Here </a>",474,Hobbs Farm,Rt 108,29,19,356,0,The Hobbs Farm,,Clarksville,1978,,POINT (1331458.98 565464.0599999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af5,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-551.pdf"" TARGET=""NEW"">Click Here </a>",551,The Eye of the Camel,5400 Vantage Point Rd,30,20,308,0,Oakland Manor Washhouse and Icehouse,Eye of the Camel; Rose Price Cottage,Columbia,2008,Lot F2; same site as Oakland Manor (#32),POINT (1353549.51 567103.365)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af4,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,John R Clark Farm House,,30,21,77,0,Site of John Clarke Farmhouse,,Columbia,1979,,POINT (1357215.51 566717.1)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af3,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-401.pdf"" TARGET=""NEW"">Click Here </a>",401,,9725 Old Annapolis Rd,30,2,86,0,Squirrel Hill,,,UNK,,POINT (1353749.2799999998 575216.505)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af2,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-536.pdf"" TARGET=""NEW"">Click Here </a>",536,Timberlea,4474 Columbia Pike,30,4,338,0,Timberlea,,Ellicott City,1979,Was part of Home Farm of Caleb Dorsey known as Dorsey Hall,POINT (1360405.5599999998 576402.39)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af1,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-538.pdf"" TARGET=""NEW"">Click Here </a>",538,The Marks-Lough House,4881 Montgomery Rd,31,8,753,0,Marks-Lough House,,Ellicott City,1979,Dam and millrace included in Oella Historic District,POINT (1369711.5 572206.44)
Historic_Sites_View.fid-e93e948_15090ed509b_-1af0,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-541.pdf"" TARGET=""NEW"">Click Here </a>",541,Banavie,6810 Norris Ln,31,12,139,0,Banavie,,Elkridge,1979,Schum Property,POINT (1383059.76 572253.96)
Historic_Sites_View.fid-e93e948_15090ed509b_-1aef,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-539.pdf"" TARGET=""NEW"">Click Here </a>",539,Burlap Manor,6760 Norris Ln,31,12,818,0,Burlap Manor-Morning Choice #2,,Elkridge,1979,,POINT (1383943.8599999999 571648.47)
Historic_Sites_View.fid-e93e948_15090ed509b_-1aee,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-540.pdf"" TARGET=""NEW"">Click Here </a>",540,Olney Tennant House,6851 Norris Ln,31,12,144,0,Olney Tenant House,,Elkridge,1979,Not architecturally significant,POINT (1383082.5899999999 571482.825)
Historic_Sites_View.fid-e93e948_15090ed509b_-1aed,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Humphries Tennant Hse,6151 Rockburn Hill Rd,32,21,63,0,Humphrie Tenant House,The Ostola Residence,Elkridge,1979,,POINT (1391155.17 567242.1)
Historic_Sites_View.fid-e93e948_15090ed509b_-1aec,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-542.pdf"" TARGET=""NEW"">Click Here </a>",542,The Brown Residence,6275 Rockburn Hill Rd,32,20,58,0,The Brown House,The Brown Residence,Elkridge,1979,,POINT (1390006.23 567598.5449999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1aeb,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-549.pdf"" TARGET=""NEW"">Click Here </a>",549,George H. Otten House,5885 Waterloo Rd,37,2,552,0,Otten Farm,University of Maryland Horse Farm,Elkridge,UNK,,POINT (1370032.3499999999 562390.065)
Historic_Sites_View.fid-e93e948_15090ed509b_-1aea,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-530.pdf"" TARGET=""NEW"">Click Here </a>",530,The Rowles House,7060 Washington Blvd,37,18,135,0,Rowles House,(William Rowles),Elkridge,UNK,In Troy Hill Business Park,POINT (1381695.0299999998 557488.845)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae9,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-266.pdf"" TARGET=""NEW"">Click Here </a>",266,Warfield's Range,10504 Gorman Rd,41,0,80,0,Warfield's Range; Pilla Terra; Dr. Thomas Chew Worthington's Homestead,Phelps Residence; Twin Cedars,Laurel,1977,Warfield Range Subd./Phelps Manor,POINT (1347728.4 541538.2799999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae8,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-153.pdf"" TARGET=""NEW"">Click Here </a>",153,Fairview,10150 Gorman Rd,42,1,267,0,Fairview/Warfield's Range,The Gorman House,Laurel,1977,"MacGill's Common, Lot 5",POINT (1350847.3499999999 551464.4099999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae7,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-197.pdf"" TARGET=""NEW"">Click Here </a>",197,Cheaks Tavern,16036 Frederick Rd,7,12,236,0,Cheaks Tavern,,Lisbon,1991,,POINT (1291668.93 608339.985)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae6,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-228.pdf"" TARGET=""NEW"">Click Here </a>",228,The Bidinger House,15944 Frederick Rd,7,12,187,0,The John Hall House,The Bidinger House,Lisbon,1978,,POINT (1292440.0499999998 608124.2999999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae5,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-404.pdf"" TARGET=""NEW"">Click Here </a>",404,,4075 Old Columbia Pike,24,18,837,0,The Omar Jones House,Hagen House,Ellicott City,1978,,POINT (1364536.5299999998 579779.9249999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae4,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Jonathan Ellicott House,Baltimore County,0,0,0,0,Ruins of Jonathon Ellicott House,,Oella (Balto. Co.),1987,Damaged beyond repair by Tropical Storm Agnes in 1972,POINT (1370599.26 583061.49)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae3,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-073.pdf"" TARGET=""NEW"">Click Here </a>",073,Ellicotts Lower Mills,Baltimore County,0,0,0,0,Ellicotts Lower Mills Sites,"Ellicott City Vicinity, Ilchester area",Ellicott City,1998,Not in Howard County,POINT (1370776.89 582854.01)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae2,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,George Ellicott House,Baltimore County,0,0,0,0,Site of George Ellicott House,,Oella (Balto. Co.),1987,From a private publication by Celia M. Holland,POINT (1370601.2999999998 583020.8099999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae1,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-365.pdf"" TARGET=""NEW"">Click Here </a>",365,Old Natn'l Pike Milestone,Md 144,25,8,0,0,Old National Pike Milestones,,Ellicott City,UNK,Below RR bridge,POINT (1370416.0499999998 583254.9299999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ae0,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-577.pdf"" TARGET=""NEW"">Click Here </a>",577,,8054 Main St,25,8,22,0,Unnamed Building,,Ellicott City,UNK,,POINT (1370173.44 583152.7949999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1adf,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-097.pdf"" TARGET=""NEW"">Click Here </a>",097,John Williams' House,8086 Main St,25,0,19,0,John Williams House,,Ellicott City,1977,,POINT (1370082.15 583128.7949999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ade,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-090.pdf"" TARGET=""NEW"">Click Here </a>",090,Charlotte Tazwell's Hse,8192 Main St,25,10,5,0,Charlotte Tazewell's Residence,Lena M. McCauley's Brick Houses,Ellicott City,1977,8186/8188/8192/8194 Main Street,POINT (1369621.5299999998 583097.475)
Historic_Sites_View.fid-e93e948_15090ed509b_-1add,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-572.pdf"" TARGET=""NEW"">Click Here </a>",572,,,25,7,71,0,Howard County Times Building,,Ellicott City,UNK,NO FORM,POINT (1369053.7799999998 583183.23)
Historic_Sites_View.fid-e93e948_15090ed509b_-1adc,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,,8505 Hill St,25,0,87,0,Hazelhurst or Hill House or NA?,,,,"Form says Hazelhurst, Public CR list Hill House, K Short says # will be reassigned",POINT (1368675.39 583254.33)
Historic_Sites_View.fid-e93e948_15090ed509b_-1adb,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-483.pdf"" TARGET=""NEW"">Click Here </a>",483,,8249 Main St,25,7,63,0,S. E. Yates House,,Ellicott City,1972,,POINT (1369297.8599999999 583074.6449999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ada,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-318.pdf"" TARGET=""NEW"">Click Here </a>",318,,8241 Main St,25,0,64,0,Bounds House,,Ellicott City,UNK,NO FORM,POINT (1369317.75 583070.85)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad9,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-586.pdf"" TARGET=""NEW"">Click Here </a>",586,Tiber Crossing Partnershi,8109-13 Main St,25,8,48,0,Wehland Building,8109-13 Holtman Grocery Store; 8113 Lauman Barber Shop,Ellicott City,1989,,POINT (1370004.9 582926.865)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad8,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-493.pdf"" TARGET=""NEW"">Click Here </a>",493,,3744 St Paul St,25,0,32,0,Sydney C. Robertson House,,Ellicott City,1972,,POINT (1370157.3599999999 582922.485)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad7,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-590.pdf"" TARGET=""NEW"">Click Here </a>",590,,3700 College Ave,25,14,295,0,Rockhill College/Ellicott City Elementary School,,Ellicott City,UNK,"NO FORM, Ellicott City Elementary School; Now Greystone Condominiums",POINT (1369936.41 582553.74)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad6,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-550.pdf"" TARGET=""NEW"">Click Here </a>",550,,3782 Old Columbia Pike,25,13,128,0,Latimer House,,Ellicott City,1982,,POINT (1369015.74 582602.3099999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad5,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-363.pdf"" TARGET=""NEW"">Click Here </a>",363,,3817 Old Columbia Pike,25,13,259,0,Charles Ringley House No. 2,,Ellicott City,1982,,POINT (1368690.5999999999 582431.1)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad4,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-337.pdf"" TARGET=""NEW"">Click Here </a>",337,Asbury M E Church,Rt 32,48,7,88,0,Asbury Methodist Episcopal Church,,Annap Junction,2003,,POINT (1367153.01 536235.2849999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad3,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-518.pdf"" TARGET=""NEW"">Click Here </a>",518,Shinnamon Three Houses,5672 Furnace Ave,38,4,623,0,Schoneman Double Tenant Houses,Shinnamon Three (Frame) Double Houses,Elkridge,1979,Condition: Poor; Potential Elkridge Historic District,POINT (1395606.18 563733.855)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad2,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-746.pdf"" TARGET=""NEW"">Click Here </a>",746,Hilton Farm,3780 Woodbine Road,12,24,21,0,Hilton Farm,,Woodbine,1997,,POINT (1273705.23 588931.065)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad1,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-747.pdf"" TARGET=""NEW"">Click Here </a>",747,Maycroft Tennant House,6064 Old Lawyers Hill Rd,32,21,107,6,Maycroft Tenant House (and detached kitchen),,Elkridge,2000,,POINT (1391554.0799999998 566034.0449999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ad0,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-748.pdf"" TARGET=""NEW"">Click Here </a>",748,unnamed,6170 Lawyers Hill Rd,32,21,35,0,Unnamed (House),,Elkridge,2000,,POINT (1390891.23 565477.125)
Historic_Sites_View.fid-e93e948_15090ed509b_-1acf,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-749.pdf"" TARGET=""NEW"">Click Here </a>",749,unnamed,6195 Lawyers Hill Rd,32,21,34,0,Unnamed (House),,Elkridge,2000,,POINT (1390603.26 565163.1)
Historic_Sites_View.fid-e93e948_15090ed509b_-1ace,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-752.pdf"" TARGET=""NEW"">Click Here </a>",752,Ellicott City Post Office,8267 Main St,25,7,296,0,Ellicott City Post Office,,Ellicott City,2000,,POINT (1369177.2899999998 583069.095)
Historic_Sites_View.fid-e93e948_15090ed509b_-1acd,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-761.pdf"" TARGET=""NEW"">Click Here </a>",761,unnamed,5004 Illchester Rd,31,10,153,4,Unnamed,House,Ellicott City,UNK,"NO FORM, new development built",POINT (1376633.22 570933.765)
Historic_Sites_View.fid-e93e948_15090ed509b_-1acc,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-762.pdf"" TARGET=""NEW"">Click Here </a>",762,unnamed,5761 Elkridge Heights Rd,38,4,916,0,Unnamed,House,Elkridge,UNK,NO FORM,POINT (1394517.21 563193.315)
