FID,Document,HoCo ID,Name,Address,Tax Map,Block,Parcel,Lot,Building Name,Common Name,Location,Survey Year,Comments,geom
Historic_Sites_View.fid-e93e948_15090ed509b_-1c2c,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-269.pdf"" TARGET=""NEW"">Click Here </a>",269,Charles Scaggs Residence,10909 Johns Hopkins Rd,41,23,126,0,Charles Scaggs Residence,Scaggs Place,Laurel,1977,Gone,POINT (1342957.0499999998 542952.9149999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c2b,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-270.pdf"" TARGET=""NEW"">Click Here </a>",270,Oak Grove Cemetery,14800 Md 97,14,16,48,0,Oak Grove Cemetery,,Glenwood,UNK,,POINT (1305179.16 593133.345)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c2a,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-271.pdf"" TARGET=""NEW"">Click Here </a>",271,Oakhurst,2460 KcKendree Rd,14,6,43,0,Oakhurst,Lardy House,West Friendship,UNK,,POINT (1309769.2799999998 597629.64)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c29,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-272.pdf"" TARGET=""NEW"">Click Here </a>",272,Warfield Cemetery,14675 Carrs Mill Rd,14,10,15,0,Warfield Cemetery (Bushy Park),,Glenwood,UNK,See note in Blue Book,POINT (1303719.1199999999 596027.355)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c28,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-273.pdf"" TARGET=""NEW"">Click Here </a>",273,The Toomey House,5730 Furnace Rd,38,4,617,0,Tenant House for Elkridge Furnace House,Toomey House,Elkridge,1978,Part of NR 367; Potential Elkridge Historic District,POINT (1396282.2 563290.2)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c27,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-274.pdf"" TARGET=""NEW"">Click Here </a>",274,The Hubert Black House,2415 Rt 94,13,3,15,0,Hubert Black House,Larriland Farm,Woodbine,1980,,POINT (1283257.74 599997.375)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c26,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-275.pdf"" TARGET=""NEW"">Click Here </a>",275,Daisy U M Church,2685 Daisey Rd,13,18,16,0,Daisy United Methodist Church,,Woodbine,1980,,POINT (1293856.6199999999 594333.465)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c25,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-276.pdf"" TARGET=""NEW"">Click Here </a>",276,Mt Gregory U M Church,2325 Md 97,14,5,130,0,Mount Gregory United Methodist Church,,Cooksville,1976,,POINT (1306466.16 597665.9249999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c24,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-277.pdf"" TARGET=""NEW"">Click Here </a>",277,St Louis King Church,12500 Md 108,34,12,196,0,St. Louis Roman Catholic Church,,Clarksville,1978,Demo permit 7/22/2004 Rectory Garage/Cottage,POINT (1328186.64 560017.23)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c23,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-278.pdf"" TARGET=""NEW"">Click Here </a>",278,Tranquility,4054 Jennings Chapel Rd,20,18,35,0,Tranquility,,Lisbon,UNK,"Confirm this is the released lot, not now under easement",POINT (1292014.26 581038.6499999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c22,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-279.pdf"" TARGET=""NEW"">Click Here </a>",279,Harwood,3666 Jennings Chapel Rd,20,10,57,0,Harwood,,Woodbine,1980,,POINT (1288177.2899999998 584932.0499999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c21,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-280.pdf"" TARGET=""NEW"">Click Here </a>",280,The Arthur Forsythe House,14396 Rt 97,8,11,36,0,Arthur Forsyth House,,Sykesville,1980,,POINT (1308723.48 608176.1549999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c20,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-281.pdf"" TARGET=""NEW"">Click Here </a>",281,Wilderness Farm,3366 Jennings Chapel Rd,20,4,29,0,Wilderness Farm,,Woodbine,1980,,POINT (1286143.38 586633.7999999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c1f,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-282.pdf"" TARGET=""NEW"">Click Here </a>",282,Limestone Valley Farm,5450 Sheppards Ln,28,24,28,0,Hayland Farm,Limestone Valley Farm,Clarksville,1978,,POINT (1328686.14 565937.835)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c1e,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-283.pdf"" TARGET=""NEW"">Click Here </a>",283,Kefauver Boarding House,8507 Old Frederick Rd,18,7,19,0,Kefauver Boarding House,,Ellicott City,1978,,POINT (1367437.02 596418.135)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c1d,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-284.pdf"" TARGET=""NEW"">Click Here </a>",284,Oak Lawn,Park Ave,25,0,302,0,Oak Lawn,District 10 Court Building,Ellicott City,1978,"Pt. of Courthouse, should be com. with H.O. 51; E.C.H.D.",POINT (1369502.7 583478.8049999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c1c,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-285.pdf"" TARGET=""NEW"">Click Here </a>",285,Ellicott's 2nd School Bld,Court Ave,25,0,244,0,Ellicott's Second School Building,The Weir House,Ellicott City,1978,historical society?,POINT (1369451.19 583308.7799999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c1b,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-0.pdf"" TARGET=""NEW"">Click Here </a>",0,Cattail Farm,4088 Rt 97,21,14,13,0,Cattail Farm,,Cooksville,1980,2000 Decorator Show House,POINT (1297655.64 581824.44)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c1a,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-288.pdf"" TARGET=""NEW"">Click Here </a>",288,Ruth Daggett House,1276 Rt 97,8,11,35,0,Ruth Dagget House,,Cooksville,1980,Not located,POINT (1308294.48 608088.6599999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1c19,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-289.pdf"" TARGET=""NEW"">Click Here </a>",289,Meriweather,14944 Roxbury Rd,21,16,28,0,Merriweather Farm,,Glenelg,2009,,POINT (1303803.63 579793.7699999999)
